,number_of_ACK,number_of_SYN,number_of_RST,number_of_PA,number_of_FA,number_of_SA,number_of_FPA,number_of_RA,ratio_syn_ack,ratio_ack_rst,ratio_syn_rst,number_sport_20percent,number_sport_35percent,number_sport_50percent,number_sport_75percent,number_dport_20percent,number_dport_35percent,number_dport_50percent,number_dport_75percent,number_src_20percent,number_src_35percent,number_src_50percent,number_src_75percent,number_dst_20percent,number_dst_35percent,number_dst_50percent,number_dst_75percent,average_IP_bytes,ratio_incom_to_outgo,number_uniq_ips,attack_aggregate
1082,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
1083,46,4,0,37,9,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
1084,45,5,0,36,9,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
1085,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.82,1.0,3,0.0
1086,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.57,1.0,3,0.0
1087,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.67,1.0,3,0.0
1088,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.42,1.0,3,0.0
1089,46,4,0,37,9,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
1090,45,5,0,36,9,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
1091,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.82,1.0,3,0.0
1092,46,4,0,38,7,4,1,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.86,1.0,3,0.0
1093,45,5,0,35,9,5,1,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,69.51,1.0,3,0.0
1094,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.78,1.0,3,0.0
1095,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
1096,46,4,0,37,9,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
1097,45,5,0,36,9,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
1098,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.82,1.0,3,0.0
1099,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.57,1.0,3,0.0
1100,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.78,1.0,3,0.0
